request,Contributor:token,Contributor:id,Contributor,Type_of_Contributor:token,Type_of_Contributor:id,Type_of_Contributor,#_of_Records,Total_$
dt=1&d-et=3&d-cci=86&d-eid=228639,d-eid,228639,CENTRAL VALLEY STONEWALL DEMOCRATIC CLUB,d-et,3,Non-Individual,33,23960
dt=1&d-et=3&d-cci=86&d-eid=11492196,d-eid,11492196,STONEWALL DEMOCRATS OF DALLAS,d-et,3,Non-Individual,45,23104.9
dt=1&d-et=3&d-cci=86&d-eid=8619708,d-eid,8619708,ARIZONA HUMAN RIGHTS FUND,d-et,3,Non-Individual,75,22965.96
dt=1&d-et=3&d-cci=86&d-eid=16736867,d-eid,16736867,EQUALITY PENNSYLVANIA,d-et,3,Non-Individual,14,22944
dt=1&d-et=3&d-cci=86&d-eid=9128133,d-eid,9128133,STONEWALL DEMOCRATIC-FARMER-LABOR PARTY,d-et,3,Non-Individual,24,22920.34
dt=1&d-et=3&d-cci=86&d-eid=3665144,d-eid,3665144,OHIOANS FOR GROWTH & EQUALITY,d-et,3,Non-Individual,1,20000
dt=1&d-et=3&d-cci=86&d-eid=413811,d-eid,413811,DESERT STONEWALL DEMOCRATS,d-et,3,Non-Individual,33,19946.63
dt=1&d-et=3&d-cci=86&d-eid=11432895,d-eid,11432895,STONEWALL DEMOCRATS OF SAN ANTONIO,d-et,3,Non-Individual,49,19741.05
dt=1&d-et=3&d-cci=86&d-eid=9176726,d-eid,9176726,CMTE FOR FAIRNESS & INDIVIDUAL RIGHTS,d-et,3,Non-Individual,43,18325
dt=1&d-et=3&d-cci=86&d-eid=2870196,d-eid,2870196,QLAW,d-et,3,Non-Individual,6,18200
dt=1&d-et=3&d-cci=86&d-eid=9494150,d-eid,9494150,TENNESSEE EQUALITY PROJECT,d-et,3,Non-Individual,2,18200
dt=1&d-et=3&d-cci=86&d-eid=14769,d-eid,14769,ONE IOWA,d-et,3,Non-Individual,4,17609
dt=1&d-et=3&d-cci=86&d-eid=3361324,d-eid,3361324,WASHINGTON WONT DISCRIMINATE,d-et,3,Non-Individual,27,17600
dt=1&d-et=3&d-cci=86&d-eid=11649832,d-eid,11649832,STONEWALL DEMOCRATS OF TARRANT COUNTY,d-et,3,Non-Individual,6,17120
dt=1&d-et=3&d-cci=86&d-eid=9391496,d-eid,9391496,FAIRNESS CAMPAIGN,d-et,3,Non-Individual,3,17000
dt=1&d-et=3&d-cci=86&d-eid=2959253,d-eid,2959253,HUMAN RIGHTS LEAGUE,d-et,3,Non-Individual,15,16996.35
dt=1&d-et=3&d-cci=86&d-eid=9897906,d-eid,9897906,UNITY UTAH,d-et,3,Non-Individual,21,15800
dt=1&d-et=3&d-cci=86&d-eid=29493,d-eid,29493,FLORIDA GLBT DEMOCRATIC CAUCUS,d-et,3,Non-Individual,12,15332.7
dt=1&d-et=3&d-cci=86&d-eid=11680271,d-eid,11680271,STONEWALL DEMOCRATS OF DENTON COUNTY,d-et,3,Non-Individual,18,15195.6
dt=1&d-et=3&d-cci=86&d-eid=8092419,d-eid,8092419,PRIDE INC,d-et,3,Non-Individual,16,15066.72
dt=1&d-et=3&d-cci=86&d-eid=9992237,d-eid,9992237,JOHNSON FAMILY FOUNDATION,d-et,3,Non-Individual,1,15000
dt=1&d-et=3&d-cci=86&d-eid=9376,d-eid,9376,VERMONTERS FOR CIVIL UNIONS,d-et,3,Non-Individual,37,14950
dt=1&d-et=3&d-cci=86&d-eid=6592715,d-eid,6592715,GAYPASG PAC,d-et,3,Non-Individual,27,14476.04
dt=1&d-et=3&d-cci=86&d-eid=12608560,d-eid,12608560,GAY LESBIAN BISEXUAL & TRANSGENDER DEMOCRATS & ALLIES OF JEFFERSON COUNTY GLBT,d-et,3,Non-Individual,27,13900
dt=1&d-et=3&d-cci=86&d-eid=546874,d-eid,546874,TRIANGLE PRIDE PAC,d-et,3,Non-Individual,37,13205
dt=1&d-et=3&d-cci=86&d-eid=6033849,d-eid,6033849,VA PARTISANS,d-et,3,Non-Individual,37,12829.05
dt=1&d-et=3&d-cci=86&d-eid=10046659,d-eid,10046659,MAINE COALITION FOR EQUAL RIGHTS,d-et,3,Non-Individual,4,12550
dt=1&d-et=3&d-cci=86&d-eid=8955801,d-eid,8955801,CIMARRON EQUALITY OKLAHOMA,d-et,3,Non-Individual,5,11800
dt=1&d-et=3&d-cci=86&d-eid=9857740,d-eid,9857740,UTAH STONEWALL DEMOCRATS,d-et,3,Non-Individual,53,11775
dt=1&d-et=3&d-cci=86&d-eid=6160691,d-eid,6160691,GLBT DEMOCRATS & ALLIES OF JEFFERSON COUNTY,d-et,3,Non-Individual,43,11700
dt=1&d-et=3&d-cci=86&d-eid=2875488,d-eid,2875488,EQUALITY OHIO,d-et,3,Non-Individual,18,11474.99
dt=1&d-et=3&d-cci=86&d-eid=11971,d-eid,11971,EQUALITY FEDERATION,d-et,3,Non-Individual,3,11208.86
dt=1&d-et=3&d-cci=86&d-eid=6205316,d-eid,6205316,VIRGINIA LOG CABIN REPUBLICANS OF NOVA,d-et,3,Non-Individual,25,10950
dt=1&d-et=3&d-cci=86&d-eid=3274719,d-eid,3274719,CENTER ADVOCATES,d-et,3,Non-Individual,10,10807.25
dt=1&d-et=3&d-cci=86&d-eid=2596862,d-eid,2596862,STONEWALL DEMOCRATS OF CENTRAL OHIO,d-et,3,Non-Individual,28,10635
dt=1&d-et=3&d-cci=86&d-eid=46133766,d-eid,46133766,LOG CABIN REPUBLICANS OF NEW HAMPSHIRE,d-et,3,Non-Individual,9,10550
dt=1&d-et=3&d-cci=86&d-eid=4943805,d-eid,4943805,CAPITAL REGION STONEWALL DEMOCRATS,d-et,3,Non-Individual,34,10185
dt=1&d-et=3&d-cci=86&d-eid=6030218,d-eid,6030218,PFLAG OF WASHINGTON METROPOLITAN AREA,d-et,3,Non-Individual,2,10120
dt=1&d-et=3&d-cci=86&d-eid=3793467,d-eid,3793467,PRIDEFEST,d-et,3,Non-Individual,1,10000
dt=1&d-et=3&d-cci=86&d-eid=8614597,d-eid,8614597,NO ON PROP 102 CMTE,d-et,3,Non-Individual,1,10000
dt=1&d-et=3&d-cci=86&d-eid=16366921,d-eid,16366921,CAMPAIGN FOR ALL DC FAMILIES,d-et,3,Non-Individual,1,10000
dt=1&d-et=3&d-cci=86&d-eid=560733,d-eid,560733,BAY STATE GAY & LESBIAN DEMOCRATS,d-et,3,Non-Individual,38,9950
dt=1&d-et=3&d-cci=86&d-eid=11827983,d-eid,11827983,STONEWALL DEMOCRATS OF THE RIO GRANDE VALLEY,d-et,3,Non-Individual,15,9550.4
dt=1&d-et=3&d-cci=86&d-eid=579483,d-eid,579483,HARVEY MILK LGBT DEMOCRATIC CLUB,d-et,3,Non-Individual,13,9408.73
dt=1&d-et=3&d-cci=86&d-eid=4607388,d-eid,4607388,STONEWALL DEMOCRATIC CLUB,d-et,3,Non-Individual,28,9200
dt=1&d-et=3&d-cci=86&d-eid=16220,d-eid,16220,STONEWALL DEMOCRATS,d-et,3,Non-Individual,33,9025
dt=1&d-et=3&d-cci=86&d-eid=146803,d-eid,146803,STONEWALL YOUNG DEMOCRATS,d-et,3,Non-Individual,28,8773
dt=1&d-et=3&d-cci=86&d-eid=4343990,d-eid,4343990,CMTE FOR FAIRNESS,d-et,3,Non-Individual,2,8522.5
dt=1&d-et=3&d-cci=86&d-eid=5249218,d-eid,5249218,BASIC RIGHTS OF OREGON PAC,d-et,3,Non-Individual,6,8257
dt=1&d-et=3&d-cci=86&d-eid=9693338,d-eid,9693338,NEW HAMPSHIRE STONEWALL DEMOCRATS,d-et,3,Non-Individual,7,8250
dt=1&d-et=3&d-cci=86&d-eid=9391917,d-eid,9391917,KENTUCKY FAIRNESS ALLIANCE ACTION FUND,d-et,3,Non-Individual,1,8000
dt=1&d-et=3&d-cci=86&d-eid=15898968,d-eid,15898968,PRIDE PROJECT,d-et,3,Non-Individual,1,7900
dt=1&d-et=3&d-cci=86&d-eid=9849949,d-eid,9849949,BWB PROPERTIES,d-et,3,Non-Individual,4,7000
dt=1&d-et=3&d-cci=86&d-eid=6195855,d-eid,6195855,VIRGINIA PARTISAN PAC,d-et,3,Non-Individual,26,6958.45
dt=1&d-et=3&d-cci=86&d-eid=5397269,d-eid,5397269,VICTORY FOUNDATION GAY/LESBIAN VICTORY FUND,d-et,3,Non-Individual,3,6950
dt=1&d-et=3&d-cci=86&d-eid=11948703,d-eid,11948703,GAY & LESBIAN ADVOCATES & DEFENDERS,d-et,3,Non-Individual,1,6897
dt=1&d-et=3&d-cci=86&d-eid=16704582,d-eid,16704582,MARRIAGE EQUALITY USA,d-et,3,Non-Individual,6,6657.81
dt=1&d-et=3&d-cci=86&d-eid=4840856,d-eid,4840856,GLBT FRIENDS OF GOOD GOVERNMENT,d-et,3,Non-Individual,3,6250
dt=1&d-et=3&d-cci=86&d-eid=6573882,d-eid,6573882,SUMMIT COUNTY PFLAG,d-et,3,Non-Individual,2,6204
dt=1&d-et=3&d-cci=86&d-eid=9406330,d-eid,9406330,TEP-PAC,d-et,3,Non-Individual,32,6200
dt=1&d-et=3&d-cci=86&d-eid=824920,d-eid,824920,GAYS & LESBIANS ORGANIZED FOR BETTERMENT & EQUALITY,d-et,3,Non-Individual,3,6100
dt=1&d-et=3&d-cci=86&d-eid=9391054,d-eid,9391054,KENTUCKY FAIRNESS ALLIANCE ACTION,d-et,3,Non-Individual,1,6000
dt=1&d-et=3&d-cci=86&d-eid=8654711,d-eid,8654711,LAGPAC,d-et,3,Non-Individual,5,5700
dt=1&d-et=3&d-cci=86&d-eid=533825,d-eid,533825,PINELLAS STONEWALL PAC,d-et,3,Non-Individual,17,5300
dt=1&d-et=3&d-cci=86&d-eid=3195880,d-eid,3195880,OHIO STONEWALL DEMOCRATS,d-et,3,Non-Individual,2,5300
dt=1&d-et=3&d-cci=86&d-eid=23113,d-eid,23113,STONEWALL DEMOCRATS OF MASSACHUSETTS,d-et,3,Non-Individual,27,5050
dt=1&d-et=3&d-cci=86&d-eid=16324722,d-eid,16324722,MID-COAST FOR MARRIAGE EQUALITY,d-et,3,Non-Individual,1,5042.38
dt=1&d-et=3&d-cci=86&d-eid=965266,d-eid,965266,GAYS & LESBIANS ORGANIZED FOR BETTERMENT & EQUALITY (GLOBE) OF SOUTHERN ALAMEDA COUNTY,d-et,3,Non-Individual,1,5000
dt=1&d-et=3&d-cci=86&d-eid=3665810,d-eid,3665810,THE CENTER,d-et,3,Non-Individual,1,5000
dt=1&d-et=3&d-cci=86&d-eid=9996946,d-eid,9996946,CALIFORNIANS FOR FAIRNESS,d-et,3,Non-Individual,3,5000
dt=1&d-et=3&d-cci=86&d-eid=16326991,d-eid,16326991,NATIONAL GAY & LESBIAN TASK FORCE ACTION FUND,d-et,3,Non-Individual,1,5000
