request,Contributor:token,Contributor:id,Contributor,Type_of_Contributor:token,Type_of_Contributor:id,Type_of_Contributor,#_of_Records,Total_$
dt=1&d-et=3&d-cci=86&d-eid=16886549,d-eid,16886549,EQUALITY NC ACTION PAC,d-et,3,Non-Individual,1,250
dt=1&d-et=3&d-cci=86&d-eid=10001784,d-eid,10001784,YES FOR MARRIAGE & EQUALITY PAC,d-et,3,Non-Individual,1,233.13
dt=1&d-et=3&d-cci=86&d-eid=6271525,d-eid,6271525,EL PASO COUNTY STONEWALL DEMOCRATS,d-et,3,Non-Individual,3,225
dt=1&d-et=3&d-cci=86&d-eid=18911688,d-eid,18911688,OREGON UNITED FOR MARRIAGE,d-et,3,Non-Individual,1,225
dt=1&d-et=3&d-cci=86&d-eid=324785,d-eid,324785,FRESNO STONEWALL DEMOCRATS,d-et,3,Non-Individual,1,200
dt=1&d-et=3&d-cci=86&d-eid=3509296,d-eid,3509296,STONEWALL DEMO,d-et,3,Non-Individual,1,200
dt=1&d-et=3&d-cci=86&d-eid=3796148,d-eid,3796148,CHRISTIANS FOR EQUALITY,d-et,3,Non-Individual,1,200
dt=1&d-et=3&d-cci=86&d-eid=3818593,d-eid,3818593,STONEWALL DEMOCRATS OF EASTERN MISSOURI,d-et,3,Non-Individual,1,200
dt=1&d-et=3&d-cci=86&d-eid=3832076,d-eid,3832076,FOUR FREEDOMS DEMOCRATIC CLUB,d-et,3,Non-Individual,2,200
dt=1&d-et=3&d-cci=86&d-eid=4374054,d-eid,4374054,PFLAG-KC,d-et,3,Non-Individual,1,200
dt=1&d-et=3&d-cci=86&d-eid=5604795,d-eid,5604795,NASSAU COUNTY LESBIAN & GAY DEMOCART,d-et,3,Non-Individual,1,200
dt=1&d-et=3&d-cci=86&d-eid=5605915,d-eid,5605915,NASAU COUNTY LESBIAN & GAY DEMOCRATS,d-et,3,Non-Individual,2,200
dt=1&d-et=3&d-cci=86&d-eid=6029096,d-eid,6029096,ROANOKE VALLEY CHAPTER OF PFLAG,d-et,3,Non-Individual,1,200
dt=1&d-et=3&d-cci=86&d-eid=11518928,d-eid,11518928,PFLAG/FORT WORTH,d-et,3,Non-Individual,1,200
dt=1&d-et=3&d-cci=86&d-eid=1410458,d-eid,1410458,LOG CABIN CLUB ORANGE COUNTY,d-et,3,Non-Individual,4,195
dt=1&d-et=3&d-cci=86&d-eid=10020782,d-eid,10020782,CENTRAL MAINE GAY MENS SUPPORT GROUP,d-et,3,Non-Individual,1,190
dt=1&d-et=3&d-cci=86&d-eid=7966807,d-eid,7966807,PFLAG VALLEY COUNTY,d-et,3,Non-Individual,1,169.15
dt=1&d-et=3&d-cci=86&d-eid=5387061,d-eid,5387061,AFTER 8 INC,d-et,3,Non-Individual,1,150
dt=1&d-et=3&d-cci=86&d-eid=5219016,d-eid,5219016,MID COLUMBIA PFLAG,d-et,3,Non-Individual,1,145
dt=1&d-et=3&d-cci=86&d-eid=7754015,d-eid,7754015,"VOID, URVASHI",d-et,3,Non-Individual,1,124.8
dt=1&d-et=3&d-cci=86&d-eid=254772,d-eid,254772,FRESNO STONEWALL DEMOCRATS,d-et,3,Non-Individual,1,100
dt=1&d-et=3&d-cci=86&d-eid=324754,d-eid,324754,FRESNO STONEWALL DEMOCRATS,d-et,3,Non-Individual,1,100
dt=1&d-et=3&d-cci=86&d-eid=972943,d-eid,972943,SUNCOAST STONEWALL DEMOCRATS,d-et,3,Non-Individual,1,100
dt=1&d-et=3&d-cci=86&d-eid=1494578,d-eid,1494578,PFLAG ANN ARBOR,d-et,3,Non-Individual,1,100
dt=1&d-et=3&d-cci=86&d-eid=1495134,d-eid,1495134,PFLAG TRI-CITIES,d-et,3,Non-Individual,1,100
dt=1&d-et=3&d-cci=86&d-eid=1495204,d-eid,1495204,GAY/LESBIAN NETWORK OF WESTERN MICHIGAN,d-et,3,Non-Individual,1,100
dt=1&d-et=3&d-cci=86&d-eid=3148059,d-eid,3148059,SUMMIT COUNTY STONEWALL DEMOCRATS,d-et,3,Non-Individual,1,100
dt=1&d-et=3&d-cci=86&d-eid=3574179,d-eid,3574179,LOG CABIN REPUBLICANS OF WASHINGTON,d-et,3,Non-Individual,1,100
dt=1&d-et=3&d-cci=86&d-eid=3817152,d-eid,3817152,RED WING PFLAG,d-et,3,Non-Individual,1,100
dt=1&d-et=3&d-cci=86&d-eid=3818411,d-eid,3818411,GAY STRAIGHT ALLIANCE,d-et,3,Non-Individual,1,100
dt=1&d-et=3&d-cci=86&d-eid=5179932,d-eid,5179932,LOG CABIN REPUBLICAN CLUB,d-et,3,Non-Individual,1,100
dt=1&d-et=3&d-cci=86&d-eid=5211929,d-eid,5211929,PFLAG FOREST GROVE,d-et,3,Non-Individual,1,100
dt=1&d-et=3&d-cci=86&d-eid=5211932,d-eid,5211932,PFLAG CENTRAL OREGON,d-et,3,Non-Individual,1,100
dt=1&d-et=3&d-cci=86&d-eid=5211935,d-eid,5211935,PFLAG CLACKAMAS COUNTY,d-et,3,Non-Individual,1,100
dt=1&d-et=3&d-cci=86&d-eid=5211938,d-eid,5211938,PFLAG CORVALLIS-ALBANY CHAPTER,d-et,3,Non-Individual,1,100
dt=1&d-et=3&d-cci=86&d-eid=5488414,d-eid,5488414,GLUE PAC,d-et,3,Non-Individual,1,100
dt=1&d-et=3&d-cci=86&d-eid=6576577,d-eid,6576577,PFLAG OF PUEBLO,d-et,3,Non-Individual,1,100
dt=1&d-et=3&d-cci=86&d-eid=8929498,d-eid,8929498,JUNCTION CITY TEDDY BEARS/JCTB,d-et,3,Non-Individual,1,100
dt=1&d-et=3&d-cci=86&d-eid=9773116,d-eid,9773116,STONEWALL DEMOCRATS OF NORTHERN NEVADA,d-et,3,Non-Individual,1,100
dt=1&d-et=3&d-cci=86&d-eid=9929157,d-eid,9929157,MID-COAST FOR MAINE EQUALITY,d-et,3,Non-Individual,1,100
dt=1&d-et=3&d-cci=86&d-eid=9929252,d-eid,9929252,SOUTHERN MAINE PRIDE,d-et,3,Non-Individual,1,100
dt=1&d-et=3&d-cci=86&d-eid=9950432,d-eid,9950432,GAY & LESBIAN UTAH DEMOCRATS,d-et,3,Non-Individual,1,100
dt=1&d-et=3&d-cci=86&d-eid=10019908,d-eid,10019908,HUDSON BAPTIST CHURCH,d-et,3,Non-Individual,1,100
dt=1&d-et=3&d-cci=86&d-eid=10021674,d-eid,10021674,PRIDE AT WORK,d-et,3,Non-Individual,1,100
dt=1&d-et=3&d-cci=86&d-eid=10033712,d-eid,10033712,MAINE LESBIAN GAY POLITICAL ALLIANCE,d-et,3,Non-Individual,1,100
dt=1&d-et=3&d-cci=86&d-eid=15738180,d-eid,15738180,EQUALITY FOR ALL,d-et,3,Non-Individual,1,100
dt=1&d-et=3&d-cci=86&d-eid=6565274,d-eid,6565274,EL PASO COUNTY STONEWALL DEMS,d-et,3,Non-Individual,2,95
dt=1&d-et=3&d-cci=86&d-eid=5339587,d-eid,5339587,BRO ELECT PAC,d-et,3,Non-Individual,1,77
dt=1&d-et=3&d-cci=86&d-eid=3798235,d-eid,3798235,STEVENS POINT GAY-STRAIGHT ALLIANCE,d-et,3,Non-Individual,1,75
dt=1&d-et=3&d-cci=86&d-eid=9975508,d-eid,9975508,PLAG,d-et,3,Non-Individual,1,75
dt=1&d-et=3&d-cci=86&d-eid=11519326,d-eid,11519326,PFLAG/AUSTIN,d-et,3,Non-Individual,1,74
dt=1&d-et=3&d-cci=86&d-eid=1473724,d-eid,1473724,FLORIDA TRIANGLE DEMOCRATIC CAUCUS,d-et,3,Non-Individual,1,70
dt=1&d-et=3&d-cci=86&d-eid=9983859,d-eid,9983859,"LONG, GANNON",d-et,3,Non-Individual,3,65
dt=1&d-et=3&d-cci=86&d-eid=6860643,d-eid,6860643,PARENTS & FRIENDS OF LESBIANS,d-et,3,Non-Individual,1,60
dt=1&d-et=3&d-cci=86&d-eid=6576107,d-eid,6576107,EVERGREEN PFLAG,d-et,3,Non-Individual,1,54
dt=1&d-et=3&d-cci=86&d-eid=942322,d-eid,942322,LOG CABIN REPUBLICANS OF ORLANDO,d-et,3,Non-Individual,1,50
dt=1&d-et=3&d-cci=86&d-eid=983678,d-eid,983678,THE GAY & LESBIAN COMMUNITY CENTER OF KEY WEST,d-et,3,Non-Individual,1,50
dt=1&d-et=3&d-cci=86&d-eid=3526288,d-eid,3526288,HARVEY MUGGEY LESBIAN/GAY DEMOCRATS,d-et,3,Non-Individual,1,50
dt=1&d-et=3&d-cci=86&d-eid=3528891,d-eid,3528891,WASHINGTON STONEWALL DEMOCRATS,d-et,3,Non-Individual,1,50
dt=1&d-et=3&d-cci=86&d-eid=6138817,d-eid,6138817,RAINBOW EQUALITY PAC,d-et,3,Non-Individual,1,50
dt=1&d-et=3&d-cci=86&d-eid=9383804,d-eid,9383804,MINNESOTA DEMOCRATIC LESBIAN/GAY CAUCUS,d-et,3,Non-Individual,1,50
dt=1&d-et=3&d-cci=86&d-eid=11518756,d-eid,11518756,PFLAG/EL PASO,d-et,3,Non-Individual,1,50
dt=1&d-et=3&d-cci=86&d-eid=15921696,d-eid,15921696,STONEWALL DEMOCRATS OF CENTRAL MARYLAND,d-et,3,Non-Individual,1,50
dt=1&d-et=3&d-cci=86&d-eid=16326363,d-eid,16326363,BROWARD LOG CABIN REPUBLICAN CLUB,d-et,3,Non-Individual,2,50
dt=1&d-et=3&d-cci=86&d-eid=5341858,d-eid,5341858,BASIC RIGHTS OF OREGON ELECT PAC 3087,d-et,3,Non-Individual,1,41
dt=1&d-et=3&d-cci=86&d-eid=11254361,d-eid,11254361,HOUSTON LESBIAN PRESS,d-et,3,Non-Individual,1,35
dt=1&d-et=3&d-cci=86&d-eid=11518214,d-eid,11518214,DIGNITY/SAN ANTONIO,d-et,3,Non-Individual,1,25
dt=1&d-et=3&d-cci=86&d-eid=11518972,d-eid,11518972,LESBIAN-GAY ALLIANCE,d-et,3,Non-Individual,1,25
dt=1&d-et=3&d-cci=86&d-eid=3801485,d-eid,3801485,G/L COMMUNITY TRUST,d-et,3,Non-Individual,1,20
dt=1&d-et=3&d-cci=86&d-eid=8682929,d-eid,8682929,GAY STRAIGHT STUDENT ALLIANCE,d-et,3,Non-Individual,1,20
dt=1&d-et=3&d-cci=86&d-eid=13706348,d-eid,13706348,"SEIBEL, MORGAN",d-et,3,Non-Individual,10,9.9
dt=1&d-et=3&d-cci=86&d-eid=1027165,d-eid,1027165,TRIANGLE PRIDE OF MICHIGAN,d-et,3,Non-Individual,1,-500
dt=1&d-et=3&d-cci=86&d-eid=7238162,d-eid,7238162,INDIANA STONEWALL DEMOCRATS,d-et,3,Non-Individual,1,-2500
