Interest Group,Year,Party Committee,Amount Contributed
EMPIRE STATE PRIDE AGENDA,2000,NEW YORK DEMOCRATIC SENATE CAMPAIGN CMTE,1550.00
EMPIRE STATE PRIDE AGENDA,1997,NEW YORK DEMOCRATIC ASSEMBLY CAMPAIGN CMTE,1250.00
EMPIRE STATE PRIDE AGENDA,1997,NEW YORK DEMOCRATIC SENATE CAMPAIGN CMTE,1100.00
EMPIRE STATE PRIDE AGENDA,2002,NEW YORK STATE DEMOCRATIC PARTY,1000.00
EQUALITY PAC,2017,DEMOCRATIC CONGRESSIONAL CAMPAIGN CMTE,15000.00
EQUALITY PAC,2018,DEMOCRATIC CONGRESSIONAL CAMPAIGN CMTE,15000.00
EQUALITY PAC,2019,DEMOCRATIC CONGRESSIONAL CAMPAIGN CMTE,15000.00
BASIC RIGHTS OREGON,2006,OREGON HOUSE DEMOCRATIC CAMPAIGN CMTE,13661.98
BASIC RIGHTS OREGON,2002,OREGON HOUSE DEMOCRATIC CAMPAIGN CMTE,3000.00
BASIC RIGHTS OREGON,2006,OREGON SENATE DEMOCRATIC CAMPAIGN CMTE,1000.00
BASIC RIGHTS OREGON,2018,OREGON SENATE DEMOCRATIC CAMPAIGN CMTE,1000.00
BASIC RIGHTS OREGON,1998,OREGON HOUSE DEMOCRATIC CAMPAIGN CMTE,932.88
BASIC RIGHTS OREGON,2010,OREGON HOUSE DEMOCRATIC CAMPAIGN CMTE,869.30
BASIC RIGHTS OREGON,2015,OREGON DEMOCRATIC PARTY,713.52
BASIC RIGHTS OREGON,2011,OREGON DEMOCRATIC PARTY,600.00
BASIC RIGHTS OREGON,2006,OREGON DEMOCRATIC PARTY,585.00
BASIC RIGHTS OREGON,2002,OREGON DEMOCRATIC PARTY,500.00
BASIC RIGHTS OREGON,2009,OREGON DEMOCRATIC PARTY,465.00
BASIC RIGHTS OREGON,2013,OREGON DEMOCRATIC PARTY,250.00
BASIC RIGHTS OREGON,2016,OREGON DEMOCRATIC PARTY,250.00
BASIC RIGHTS OREGON,1998,OREGON SENATE DEMOCRATIC CAMPAIGN CMTE,100.00
ACTION WISCONSIN,0,0,0
LPAC,0,0,0
GENERAL TREASURY TRANSFER,2011,MAINE DEMOCRATIC PARTY,4942.00
FREEDOM MASSACHUSETTS EDUCATION FUND,0,0,0
PROJECT 515,2013,MINNESOTA DEMOCRATIC-FARMER-LABOR PARTY,40000.00
PROJECT 515,2010,MINNESOTA DEMOCRATIC-FARMER-LABOR PARTY,8925.00
PROJECT 515,2010,DEMOCRATIC-FARMER-LABOR SENATE CAUCUS OF MINNESOTA,8925.00
CALIFORNIANS FOR PROGRESS - NO ON 17 FKA CALIFORNIANS AGAINST ELIMINATING BASIC RIGHTS NO ON PROPOSITION 8,0,0,0
NO ON 8 NATIONAL CENTER FOR LESBIAN RIGHTS SOCIAL JUSTICE FUND,0,0,0
OUTFRONT MINNESOTA,2013,MINNESOTA DEMOCRATIC-FARMER-LABOR PARTY,40000.00
OUTFRONT MINNESOTA,2010,MINNESOTA DEMOCRATIC-FARMER-LABOR PARTY,11400.00
OUTFRONT MINNESOTA,2010,DEMOCRATIC-FARMER-LABOR SENATE CAUCUS OF MINNESOTA,9500.00
OUTFRONT MINNESOTA,2008,MINNESOTA DEMOCRATIC-FARMER-LABOR PARTY,250.00
LOS ANGELES GAY & LESBIAN COMMUNITY SERVICES CENTER,0,0,0
CENTER ADVOCACY PROJECT,0,0,0
EQUALITY MAINE,2010,SENATE DEMOCRATIC CAMPAIGN CMTE OF MAINE,15000.00
EQUALITY MAINE,2010,HOUSE DEMOCRATIC CAMPAIGN CMTE OF MAINE,10000.00
EQUALITY MAINE,2012,HOUSE DEMOCRATIC CAMPAIGN CMTE OF MAINE,2500.00
EQUALITY MAINE,2009,MAINE DEMOCRATIC PARTY,2300.00
EQUALITY MAINE,2012,SENATE DEMOCRATIC CAMPAIGN CMTE OF MAINE,1500.00
EQUALITY MAINE,2009,HOUSE DEMOCRATIC CAMPAIGN CMTE OF MAINE,1000.00
EQUALITY MAINE,2011,SENATE DEMOCRATIC CAMPAIGN CMTE OF MAINE,1000.00
EQUALITY MAINE,2011,HOUSE DEMOCRATIC CAMPAIGN CMTE OF MAINE,1000.00
EQUALITY MAINE,2010,MAINE DEMOCRATIC PARTY,650.00
EQUALITY MAINE,2013,SENATE DEMOCRATIC CAMPAIGN CMTE OF MAINE,500.00
EQUALITY MAINE,2014,MAINE DEMOCRATIC PARTY,500.00
EQUALITY MAINE,2008,MAINE DEMOCRATIC PARTY,475.00
EQUALITY MAINE,2018,MAINE DEMOCRATIC PARTY,300.00
GAY & LESBIAN ADVOCATES & DEFENDERS,0,0,0
