Interest Group,Year,Party Committee,Amount Contributed
DELAWARE RIGHT TO MARRY PAC,0,0,0
DE RIGHT TO MARRY PAC,0,0,0
VICTORY FOUNDATION GAY/LESBIAN VICTORY FUND,0,0,0
STONEWALL DEMOCRATIC CLUB ISSUES & ADVOCACY CMTE,0,0,0
UTAH LOG CABIN REPUBLICANS,0,0,0
PROGRESS PRINTING CORPORATION,1998,ILLINOIS DEMOCRATIC PARTY,500.00
ST LOUIS NETWORK LLC,0,0,0
SOUTH CAROLINA STONEWALL DEMOCRATS,2009,SOUTH CAROLINA DEMOCRATIC PARTY,800.00
NATIONAL LOG CABIN REPUBLICANS,0,0,0
BAY STATE GAY & LESBIAN DEMOCRATS PAC,0,0,0
WILLIAM & MARY GAY LESBIAN ALUMNI,0,0,0
GLID A K A G & L INDEPENDENT DEMOCRATS,2002,NEW YORK STATE DEMOCRATIC PARTY,300.00
BLACK HILLS AREA GAY & LESBIAN ASSOCIATION,0,0,0
KANAWHA STONEWALL DEMOCRATS,2008,WEST VIRGINIA DEMOCRATIC PARTY,650.00
REPUBLICAN LIBERTY,0,0,0
STONEWALL DEMOCRATS OF CENTRAL MARYLAND,0,0,0
STONEWALL DEMOCRATS OF CENTRAL MARYLAND,0,0,0
PFLAG DENVER,0,0,0
STONEWALL DEMOCRATS OF PINELLAS,0,0,0
TECHNO DYKE,0,0,0
STANDING TOGETHER & RECLAIMING THE STATE/STARS,0,0,0
KANSAS CITY PRIDE DEMOCRATIC CLUB,0,0,0
GAY LESBIAN & BISEXUAL COMMUNITY,2000,COLORADO DEMOCRATIC PARTY,561.00
PFLAG GENESEE COUNTY,0,0,0
KANSAS DEMOCRATIC LBGT CAUCUS,2007,KANSAS DEMOCRATIC PARTY,150.00
KANSAS DEMOCRATIC LBGT CAUCUS,2009,KANSAS DEMOCRATIC PARTY,150.00
STONEWALL DEMOCRATS OF ARIZONA,2004,ARIZONA DEMOCRATIC PARTY,500.00
G V STONEWALL DEMOCRATIC CLUB,0,0,0
ALICE B TOKLAS LESBIAN GAY DEMOCRATIC CLUB,2008,CALIFORNIA DEMOCRATIC PARTY,500.00
PFLAG LANSING,0,0,0
LAMDA DEMOCRATS OF KEY WEST,0,0,0
LOG CABIN REPUBLICANS OF TAMPA BAY,0,0,0
WILLIAM BRYAN STRYKER ELECCONTRACTING INC,0,0,0
LEGAL MARRIAGE ALLIANCE,0,0,0
HARVEY MUGGY LESBIAN/GAY DEMOCRATS,2000,HOUSE DEMOCRATIC CAMPAIGN CMTE OF WASHINGTON,100.00
HARVEY MUGGY LESBIAN/GAY DEMOCRATS,2000,SENATE DEMOCRATIC CAMPAIGN CMTE OF WASHINGTON,100.00
HARVEY MUGGY LESBIAN/GAY DEMOCRATS,2002,HOUSE DEMOCRATIC CAMPAIGN CMTE OF WASHINGTON,100.00
HARVEY MUGGY LESBIAN/GAY DEMOCRATS,2002,SENATE DEMOCRATIC CAMPAIGN CMTE OF WASHINGTON,100.00
HARVEY MUGGY LESBIAN/GAY DEMOCRATS,2001,HOUSE DEMOCRATIC CAMPAIGN CMTE OF WASHINGTON,50.00
HARVEY MUGGY LESBIAN/GAY DEMOCRATS,2001,SENATE DEMOCRATIC CAMPAIGN CMTE OF WASHINGTON,50.00
PRIVACY FUND,0,0,0
PFLAG-EUGENE/SPRINGFIELD,0,0,0
EAST END GAY ORG/EEGO,0,0,0
NEW YORK STATE LOG CABIN REPUBLICANS,0,0,0
EQUALITY VIRGINIA,0,0,0
COLORADO GAY & LESBIAN ASSOCIATION,0,0,0
NORTH CAROLINA EQUALITY,0,0,0
GAY & LESBIAN POLITICAL ACTION & SUPPORT GROUP/GAYPASG,0,0,0
INDIANA STONEWALL DEMOCRAT,0,0,0
DELAWARE LIBERTY FUNDS,0,0,0
LOUISIANA LESBIAN & GAY PAC LAGPAC,0,0,0
ARIZONA TOGETHER,0,0,0
KANSANS FOR FAIRNESS,0,0,0
EQUALITY NEW MEXICO,0,0,0
FAMILY EQUALITY,0,0,0
MAINE WONT DISCRIMINATE,0,0,0
STONEWALL DEMOCRATS OF AUSTIN,0,0,0
AUSTIN GAY & LESBIAN INTERNATIONAL FILM FESTIVAL,0,0,0
LOG CABIN REPUBLICANS OF MAIMI DADE,0,0,0
SDC OF AR,0,0,0
WESTERN MONTANA GAY & LESBIAN COMMUNITY,0,0,0
PFLAG/DENTON COUNTY,0,0,0
WASHINGTON STATE STONEWALL DEMOCRATS,2009,WASHINGTON STATE DEMOCRATIC PARTY,330.00
WASHINGTON STATE STONEWALL DEMOCRATS,2010,WASHINGTON STATE DEMOCRATIC PARTY,150.00
RAINBOW DEMOCRATIC CLUB,2003,FLORIDA DEMOCRATIC PARTY,200.00
PRIDE DAY CMTE,0,0,0
SOUTHERN ARIZONA STONEWALL DEMOCRATS,2004,ARIZONA DEMOCRATIC PARTY,395.00
LOG CABIN REPUBLICANS PARTY OF BROWARD COUNTY,0,0,0
HOUR OF POWER,0,0,0
EQUALITY FAIRFAX,0,0,0
JEFFCOUNTY DEMOCRATS GLBT CAUCUS,0,0,0
VIRGINIA PARTISAN GAY & LESBIAN DEMO,0,0,0
ALICE B TOKLAS LGBT DEMOCRATIC CLUB PAC,0,0,0
PRIDE SOURCE MEDIA,0,0,0
WINGSPAN,0,0,0
ASTRAEA FOUNDATION,0,0,0
TRIANGLE FOUNDATION,0,0,0
CSRA RAINBOW ALLIANCE,0,0,0
PFLAG DOWNRIVER,0,0,0
WASHTENAW RAINBOW ACTION PROJECT,0,0,0
GEORGIA LOG CABIN REPUBLICANS,0,0,0
LOVE MAKES A FAMILY PAC,0,0,0
MARRIAGE EQUALITY RHODE ISLAND,0,0,0
PARENTS FAMILIES FRIENDS OF LESBIANS & GAYS/PFLAG,0,0,0
LAKE COUNTY STONEWALL DEMOCRATIC CLUB,0,0,0
GAY & LESBIAN LABOR ACTIVIST PAC,0,0,0
LGBT POLITICAL CAUCUS OF SO OREGON,0,0,0
STONEWALL DEMOCRATS SAUGATUCK,0,0,0
BSG&L DEMOCRATS PAC INC,0,0,0
STONEWALL DEMOCRATIC CMTE,0,0,0
STONEWALL DEMOCRATES,0,0,0
LOG CABIN CLUB OF EASTERN MASSACHUSETTS,0,0,0
STONEWALL DEMOCRATIC CLUB 1247892,0,0,0
GAY & LESBIAN DEMOCRATS PAC,0,0,0
MI PRIDE PAC,0,0,0
PRIVACY FUND/HANDS OFF WA,0,0,0
STONEWALL DEMOCRATICS OF WNY,0,0,0
GAY & LESBIAN INDEPENDENT DEMOCRATS/GLID,0,0,0
PRIDE OF PHILADELPHIA ELECTION COMM,0,0,0
PRIDE OF PHILADELPHIA ELECTION COMM,0,0,0
THE GAY & LESBIAN ACTIVIST,0,0,0
PFLAG DILLON SUMMIT COUNTY,0,0,0
CITIZENS FOR FAIRNESS,0,0,0
NM LESBIAN &GAY POLITICAL ALLIANCE,0,0,0
ME WONT DISCRIMINATE,0,0,0
STONEWALL DEMOCRATS OFTHERIO GRANDE VALLEY,0,0,0
EQUALITY NC ACTION PAC,0,0,0
YES FOR MARRIAGE & EQUALITY PAC,0,0,0
EL PASO COUNTY STONEWALL DEMOCRATS,0,0,0
OREGON UNITED FOR MARRIAGE,2013,OREGON DEMOCRATIC PARTY,225.00
FRESNO STONEWALL DEMOCRATS,0,0,0
STONEWALL DEMO,0,0,0
CHRISTIANS FOR EQUALITY,0,0,0
STONEWALL DEMOCRATS OF EASTERN MISSOURI,0,0,0
FOUR FREEDOMS DEMOCRATIC CLUB,0,0,0
PFLAG-KC,0,0,0
NASSAU COUNTY LESBIAN & GAY DEMOCART,0,0,0
NASAU COUNTY LESBIAN & GAY DEMOCRATS,0,0,0
ROANOKE VALLEY CHAPTER OF PFLAG,0,0,0
PFLAG/FORT WORTH,0,0,0
LOG CABIN CLUB ORANGE COUNTY,0,0,0
CENTRAL MAINE GAY MENS SUPPORT GROUP,0,0,0
PFLAG VALLEY COUNTY,0,0,0
AFTER 8 INC,0,0,0
MID COLUMBIA PFLAG,0,0,0
"VOID, URVASHI",0,0,0
FRESNO STONEWALL DEMOCRATS,0,0,0
FRESNO STONEWALL DEMOCRATS,0,0,0
SUNCOAST STONEWALL DEMOCRATS,0,0,0
PFLAG ANN ARBOR,0,0,0
PFLAG TRI-CITIES,0,0,0
GAY/LESBIAN NETWORK OF WESTERN MICHIGAN,0,0,0
SUMMIT COUNTY STONEWALL DEMOCRATS,2008,OHIO DEMOCRATIC PARTY,100.00
LOG CABIN REPUBLICANS OF WASHINGTON,0,0,0
RED WING PFLAG,0,0,0
GAY STRAIGHT ALLIANCE,0,0,0
LOG CABIN REPUBLICAN CLUB,0,0,0
PFLAG FOREST GROVE,0,0,0
PFLAG CENTRAL OREGON,0,0,0
PFLAG CLACKAMAS COUNTY,0,0,0
PFLAG CORVALLIS-ALBANY CHAPTER,0,0,0
GLUE PAC,0,0,0
PFLAG OF PUEBLO,0,0,0
JUNCTION CITY TEDDY BEARS/JCTB,0,0,0
STONEWALL DEMOCRATS OF NORTHERN NEVADA,0,0,0
MID-COAST FOR MAINE EQUALITY,2009,MAINE DEMOCRATIC PARTY,100.00
SOUTHERN MAINE PRIDE,2009,MAINE DEMOCRATIC PARTY,100.00
GAY & LESBIAN UTAH DEMOCRATS,0,0,0
HUDSON BAPTIST CHURCH,0,0,0
PRIDE AT WORK,0,0,0
MAINE LESBIAN GAY POLITICAL ALLIANCE,0,0,0
EQUALITY FOR ALL,0,0,0
EL PASO COUNTY STONEWALL DEMS,2002,COLORADO DEMOCRATIC PARTY,20.00
BRO ELECT PAC,0,0,0
STEVENS POINT GAY-STRAIGHT ALLIANCE,0,0,0
PLAG,0,0,0
PFLAG/AUSTIN,0,0,0
FLORIDA TRIANGLE DEMOCRATIC CAUCUS,2005,FLORIDA DEMOCRATIC PARTY,70.00
"LONG, GANNON",0,0,0
PARENTS & FRIENDS OF LESBIANS,2000,COLORADO DEMOCRATIC PARTY,60.00
EVERGREEN PFLAG,0,0,0
LOG CABIN REPUBLICANS OF ORLANDO,0,0,0
THE GAY & LESBIAN COMMUNITY CENTER OF KEY WEST,0,0,0
HARVEY MUGGEY LESBIAN/GAY DEMOCRATS,2003,HOUSE DEMOCRATIC CAMPAIGN CMTE OF WASHINGTON,50.00
WASHINGTON STONEWALL DEMOCRATS,2003,SENATE DEMOCRATIC CAMPAIGN CMTE OF WASHINGTON,50.00
RAINBOW EQUALITY PAC,0,0,0
MINNESOTA DEMOCRATIC LESBIAN/GAY CAUCUS,1998,MINNESOTA DEMOCRATIC-FARMER-LABOR PARTY,50.00
PFLAG/EL PASO,0,0,0
STONEWALL DEMOCRATS OF CENTRAL MARYLAND,0,0,0
BROWARD LOG CABIN REPUBLICAN CLUB,0,0,0
BASIC RIGHTS OF OREGON ELECT PAC 3087,0,0,0
HOUSTON LESBIAN PRESS,0,0,0
DIGNITY/SAN ANTONIO,0,0,0
LESBIAN-GAY ALLIANCE,0,0,0
G/L COMMUNITY TRUST,0,0,0
GAY STRAIGHT STUDENT ALLIANCE,0,0,0
"SEIBEL, MORGAN",0,0,0
TRIANGLE PRIDE OF MICHIGAN,0,0,0
INDIANA STONEWALL DEMOCRATS,0,0,0
