Interest Group,Year,Amount Contributed
MICHIGAN PRIDE,1998,150.00
LOG CABIN REPUBLICAN CLUB OF PENNSYLVANIA,2000,150.00
AFTER 8 INC,2000,150.00
GLID A K A G & L INDEPENDENT DEMOCRATS,2000,150.00
GEORGIA LOG CABIN REPUBLICANS,2000,150.00
GEORGIA LOG CABIN REPUBLICANS,2001,150.00
PRIDE PAC,2006,150.00
STONEWALL DEMOCRATIC CLUB,2006,150.00
EL PASO COUNTY STONEWALL DEMOCRATS,2006,150.00
EQUAL RIGHTS WASHINGTON,2007,150.00
KANSAS DEMOCRATIC LBGT CAUCUS,2007,150.00
STONEWALL DEMOCRATIC CLUB,2008,150.00
KANSAS DEMOCRATIC LBGT CAUCUS,2009,150.00
WASHINGTON STATE STONEWALL DEMOCRATS,2010,150.00
LOG CABIN CLUB ORANGE COUNTY,2012,150.00
MID COLUMBIA PFLAG,2004,145.00
ST LOUIS STONEWALL DEMOCRATS,2012,140.00
BASIC RIGHTS OREGON,2000,127.00
DELAWARE STONEWALL DEMOCRATS,2005,125.00
GAY & LESBIAN VICTORY FUND,2005,125.00
EQUALITY NEW MEXICO,2005,125.00
VIRGINIA PARTISANS GAY & LESBIAN PAC,2007,125.00
"VOID, URVASHI",2008,124.80
STONEWALL DEMOCRATS,2003,105.00
GAY & LESBIAN UTAH DEMOCRATS,1990,100.00
HUMAN RIGHTS CAMPAIGN,1994,100.00
GLUE PAC,1996,100.00
MICH PRIDE PAC,2000,100.00
HARVEY MUGGY LESBIAN/GAY DEMOCRATS,2001,100.00
STONEWALL DEMOCRATS,2002,100.00
BAY STATE STONEWALL DEMOCRATS,2002,100.00
RAINBOW DEMOCRATIC CLUB,2002,100.00
LESBIAN & GAY DEMOCRATIC CLUB OF QUEENS,2002,100.00
MAINE LESBIAN GAY POLITICAL ALLIANCE,2002,100.00
DESERT STONEWALL DEMOCRATS,2004,100.00
PFLAG DOWNRIVER,2004,100.00
PFLAG ANN ARBOR,2004,100.00
PFLAG TRI-CITIES,2004,100.00
GAY/LESBIAN NETWORK OF WESTERN MICHIGAN,2004,100.00
LOG CABIN REPUBLICANS OF WASHINGTON,2004,100.00
PFLAG FOREST GROVE,2004,100.00
PFLAG CENTRAL OREGON,2004,100.00
PFLAG CLACKAMAS COUNTY,2004,100.00
PFLAG CORVALLIS-ALBANY CHAPTER,2004,100.00
STONEWALL DEMOCRATS OF NORTHERN NEVADA,2004,100.00
JUNCTION CITY TEDDY BEARS/JCTB,2005,100.00
HUDSON BAPTIST CHURCH,2005,100.00
PRIDE AT WORK,2005,100.00
RED WING PFLAG,2006,100.00
GAY STRAIGHT ALLIANCE,2006,100.00
LOG CABIN REPUBLICAN CLUB,2006,100.00
PFLAG OF PUEBLO,2006,100.00
DELAWARE LIBERTY FUNDS,2006,100.00
OKLAHOMA STONEWALL DEMOCRATS,2006,100.00
STONEWALL DEMOCRATS OF SAN ANTONIO,2006,100.00
DELAWARE STONEWALL DEMOCRATS,2007,100.00
SUNCOAST STONEWALL DEMOCRATS,2008,100.00
SUMMIT COUNTY STONEWALL DEMOCRATS,2008,100.00
GLID,2008,100.00
TEP-PAC,2009,100.00
MID-COAST FOR MAINE EQUALITY,2009,100.00
SOUTHERN MAINE PRIDE,2009,100.00
FRESNO STONEWALL DEMOCRATS,2010,100.00
FRESNO STONEWALL DEMOCRATS,2010,100.00
DESERT STONEWALL DEMOCRATS,2010,100.00
BROWARD LOG CABIN CLUB,2010,100.00
EQUALITY NEW MEXICO,2010,100.00
STONEWALL DEMOCRATS OF CENTRAL OHIO,2012,100.00
FAIRNESS FUND,2012,100.00
EQUALITY FOR ALL,2012,100.00
STONEWALL DEMOCRATIC CLUB,2014,100.00
LOG CABIN REPUBLICANS OF MAIMI DADE,2014,100.00
CAPITAL REGION STONEWALL DEMOCRATS,2015,100.00
STONEWALL DEMOCRATS OF WNY,2016,100.00
LOG CABIN REPUBLICANS OF MAIMI DADE,2016,100.00
STONEWALL DEMOCRATS,2017,100.00
BRO ELECT PAC,2000,77.00
PRIDE FOUNDATION,2000,75.00
STEVENS POINT GAY-STRAIGHT ALLIANCE,2006,75.00
EL PASO COUNTY STONEWALL DEMS,2006,75.00
EL PASO COUNTY STONEWALL DEMOCRATS,2008,75.00
PLAG,2009,75.00
LANSING ASSOCIATION FOR HUMAN RIGHTS,2016,75.00
PFLAG/AUSTIN,2005,74.00
FLORIDA TRIANGLE DEMOCRATIC CAUCUS,2005,70.00
"LONG, GANNON",2009,65.00
PARENTS & FRIENDS OF LESBIANS,2000,60.00
EVERGREEN PFLAG,2006,54.00
STONEWALL DEMOCRATS OF THE RIO GRANDE VALLEY,2015,50.40
MINNESOTA DEMOCRATIC LESBIAN/GAY CAUCUS,1998,50.00
MICH PRIDE PAC,2003,50.00
HARVEY MUGGEY LESBIAN/GAY DEMOCRATS,2003,50.00
WASHINGTON STONEWALL DEMOCRATS,2003,50.00
PFLAG/EL PASO,2005,50.00
GAY & LESBIAN LABOR ACTIVIST PAC,2006,50.00
SOUTHERN ARIZONA STONEWALL DEMOCRATS,2006,50.00
LOG CABIN REPUBLICANS OF ORLANDO,2008,50.00
THE GAY & LESBIAN COMMUNITY CENTER OF KEY WEST,2008,50.00
RAINBOW EQUALITY PAC,2008,50.00
ATLANTA STONEWALL DEMOCRATS,2010,50.00
MARRIAGE EQUALITY RHODE ISLAND,2012,50.00
BROWARD LOG CABIN REPUBLICAN CLUB,2012,50.00
STONEWALL DEMOCRATS OF CENTRAL MARYLAND,2014,50.00
LOG CABIN CLUB ORANGE COUNTY,1999,45.00
BASIC RIGHTS OF OREGON ELECT PAC 3087,2000,41.00
STONEWALL DEMOCRATS OF ARIZONA,2014,40.00
HOUSTON LESBIAN PRESS,2000,35.00
DIGNITY/SAN ANTONIO,2005,25.00
LESBIAN-GAY ALLIANCE,2005,25.00
EL PASO COUNTY STONEWALL DEMS,2002,20.00
G/L COMMUNITY TRUST,2006,20.00
GAY STRAIGHT STUDENT ALLIANCE,2006,20.00
STONEWALL DEMOCRATS OF PINELLAS,2006,17.00
"SEIBEL, MORGAN",2012,9.90
LOG CABIN CLUB ORANGE COUNTY,2006,0.00
FAMILIES FOR A BETTER IDAHO,2006,0.00
TRIANGLE PRIDE OF MICHIGAN,2006,-500.00
INDIANA STONEWALL DEMOCRATS,2004,-2500.00
