Interest Group,Year,Amount Contributed
LOVE MAKES A FAMILY,2004,24250.00
PARENTS FAMILIES & FRIENDS OF LESBIANS & GAYS (PFLAG) NATIONAL OFFICE,2008,24150.00
EQUALITY SOUTH DAKOTA,2010,23150.00
PRIVACY FUND,1996,23100.00
EQUALITY CALIFORNIA,2012,22850.55
GARDEN STATE EQUALITY,2009,22725.00
GAY & LESBIAN VICTORY FUND,2000,22671.49
EQUALITY PAC,2020,22500.00
EQUALITY UTAH,2018,22450.00
LOG CABIN REPUBLICANS OF CALIFORNIA,2006,22306.52
LOVE MAKES A FAMILY,2008,21548.80
OUTFRONT MINNESOTA,2010,20900.00
EQUAL RIGHTS WASHINGTON,2006,20800.00
STONEWALL DEMOCRATIC CLUB OF GREATER SACRAMENTO,2010,20774.00
OHIOANS FOR GROWTH & EQUALITY,2004,20000.00
EMPIRE STATE PRIDE AGENDA,2011,20000.00
EQUALITY CALIFORNIA,2014,19850.00
TEXAS EQUITY PAC,2008,19750.00
EQUALITY NEW MEXICO,2008,19250.00
EQUALITY VIRGINIA,2017,19000.00
PRIDE FOUNDATION,2018,19000.00
EQUALITY NORTH CAROLINA,2012,18850.00
EQUALITY NC ACTION FUND,2012,18750.00
EQUALITY NORTH CAROLINA,2004,18625.00
HUMAN RIGHTS CAMPAIGN,2002,18623.50
QLAW,2012,18200.00
EMPIRE STATE PRIDE AGENDA,2001,18000.00
TENNESSEE EQUALITY PROJECT,2006,18000.00
PROJECT 515,2010,17850.00
GAY & LESBIAN VICTORY FUND,1998,17810.35
STONEWALL DEMOCRATIC CLUB OF GREATER SACRAMENTO,2008,17800.00
LOG CABIN REPUBLICANS,2010,17750.00
EQUALITY CALIFORNIA,2006,17629.98
WASHINGTON WONT DISCRIMINATE,2006,17600.00
PROJECT 515,2014,17600.00
ONE IOWA,2008,17344.00
FAIRNESS CAMPAIGN,2004,17000.00
VIRGINIA PARTISANS GAY & LESBIAN DEMOCRATIC CLUB,2007,16999.00
EQUALITY ILLINOIS,2008,16900.00
EMPIRE STATE PRIDE AGENDA,2003,16700.00
MICH PRIDE PAC,2008,16175.00
EMPIRE STATE PRIDE AGENDA,2013,16175.00
STONEWALL DEMOCRATIC CLUB OF GREATER SACRAMENTO,2012,15890.00
EQUALITY MAINE,2011,15685.77
LOG CABIN REPUBLICANS,2014,15625.00
VIRGINIA PARTISANS GAY & LESBIAN DEMOCRATIC CLUB,2011,15328.45
GAY & LESBIAN ALLIANCE AGAINST DEFAMATION,2009,15292.15
BASIC RIGHTS OREGON,1998,15198.88
PRIDE INC,2004,15066.72
JOHNSON FAMILY FOUNDATION,2009,15000.00
MASSEQUALITY,2009,14959.00
EQUALITY MARYLAND,2006,14900.00
EQUALITY UTAH,2013,14900.00
INDIANA STONEWALL DEMOCRATS,2010,14550.00
UNITY UTAH,2002,14300.00
EQUALITY UTAH,2010,14300.00
LOVE MAKES A FAMILY,2006,14250.00
EQUALITY VIRGINIA,2009,14000.00
EQUALITY CALIFORNIA,2009,13962.24
TEXAS EQUITY PAC,2006,13500.00
STONEWALL DEMOCRATS OF DENTON COUNTY,2008,13021.60
HUMAN RIGHTS CAMPAIGN,2020,13000.00
MASSEQUALITY,2012,12772.22
MICHIGAN PRIDE,2008,12637.75
MAINE COALITION FOR EQUAL RIGHTS,2000,12550.00
STONEWALL DEMOCRATS OF TARRANT COUNTY,2010,12500.00
SOUTH CAROLINA EQUALITY COALITION,2014,12500.00
DELAWARE STONEWALL DEMOCRATS,2010,12300.00
LESBIAN GAY BISEXUAL TRANSGENDER CAUCUS LEADERSHIP FUND,2014,12300.00
EMPIRE STATE PRIDE AGENDA,2015,12250.00
MASSEQUALITY,2014,12094.29
EQUALITY MICHIGAN,2010,12000.00
STONEWALL DEMOCRATIC CLUB OF GREATER SACRAMENTO,2006,11750.00
GARDEN STATE EQUALITY LLC,2008,11500.00
EQUALITY PENNSYLVANIA,2012,11500.00
DELAWARE STONEWALL DEMOCRATS,2018,11450.00
EQUALITY VIRGINIA,2005,11308.12
EQUALITY ILLINOIS,2018,11175.00
LOVE MAKES A FAMILY,2009,11077.84
DELAWARE STONEWALL DEMOCRATS,2004,11025.00
MASSEQUALITY,2008,11023.30
DELAWARE STONEWALL DEMOCRATS,2014,10950.00
LOG CABIN REPUBLICANS,2016,10950.00
EQUALITY PENNSYLVANIA,2014,10944.00
VERMONT FUND FOR FAMILIES,2002,10788.64
CENTRAL VALLEY STONEWALL DEMOCRATIC CLUB,2008,10750.00
EMPIRE STATE PRIDE AGENDA,2016,10700.00
LOG CABIN REPUBLICANS OF NEW HAMPSHIRE,2018,10550.00
VA PARTISANS,2005,10529.05
EQUALITY UTAH,2016,10265.00
PRIVACY FUND,1994,10250.00
EQUALITY FEDERATION,2008,10208.86
PFLAG OF WASHINGTON METROPOLITAN AREA,2006,10120.00
EQUALITY MARYLAND,2014,10030.85
HORIZONS FOUNDATION,2004,10000.00
PRIDEFEST,2006,10000.00
NO ON PROP 102 CMTE,2008,10000.00
CAMPAIGN FOR ALL DC FAMILIES,2012,10000.00
BASIC RIGHTS OREGON,2009,9783.80
VIRGINIA PARTISANS GAY & LESBIAN DEMOCRATIC CLUB,2009,9600.00
GILL ACTION FUND,2016,9600.00
EQUALITY NEW MEXICO,2004,9545.00
VERMONTERS FOR CIVIL UNIONS,2000,9350.00
FREEDOM TO MARRY,2004,9250.00
VERMONT FUND FOR FAMILIES,2010,9100.00
DESERT STONEWALL DEMOCRATS,2018,9050.00
DELAWARE STONEWALL DEMOCRATS,2012,9000.00
TRIANGLE PRIDE PAC,2006,8905.00
FAIRNESS FUND,2009,8738.81
CMTE FOR FAIRNESS,2004,8522.50
EMPIRE STATE PRIDE AGENDA,1998,8454.00
GAY & LESBIAN VICTORY FUND,2015,8420.00
HUMAN RIGHTS LEAGUE,2006,8246.35
ARIZONA HUMAN RIGHTS FUND,1996,8010.00
MICHIGAN PRIDE,2006,8010.00
KENTUCKY FAIRNESS ALLIANCE ACTION FUND,2004,8000.00
CLEVELAND STONEWALL DEMOCRATS,2010,8000.00
TEXAS EQUITY PAC,2012,8000.00
LOG CABIN REPUBLICANS NEW YORK,2012,7950.00
TEXAS STONEWALL DEMOCRATIC CAUCUS,2018,7950.00
