"","Interest.Group","Year","total_contributions","amount_contributed","recipient"
"249","CMTE FOR FAIRNESS & INDIVIDUAL RIGHTS",2012,800,500,"Party Committee"
"250","CMTE FOR FAIRNESS & INDIVIDUAL RIGHTS",2012,800,300,"Candidate"
"251","CMTE FOR FAIRNESS & INDIVIDUAL RIGHTS",2011,250,0,"Party Committee"
"252","CMTE FOR FAIRNESS & INDIVIDUAL RIGHTS",2011,250,250,"Candidate"
"253","CMTE FOR FAIRNESS & INDIVIDUAL RIGHTS",2010,625,0,"Party Committee"
"254","CMTE FOR FAIRNESS & INDIVIDUAL RIGHTS",2010,625,625,"Candidate"
"255","CMTE FOR FAIRNESS & INDIVIDUAL RIGHTS",2007,1000,0,"Party Committee"
"256","CMTE FOR FAIRNESS & INDIVIDUAL RIGHTS",2007,1000,1000,"Candidate"
"257","CMTE FOR FAIRNESS & INDIVIDUAL RIGHTS",2006,1000,0,"Party Committee"
"258","CMTE FOR FAIRNESS & INDIVIDUAL RIGHTS",2006,1000,1000,"Candidate"
"259","CMTE FOR FAIRNESS & INDIVIDUAL RIGHTS",2004,2750,0,"Party Committee"
"260","CMTE FOR FAIRNESS & INDIVIDUAL RIGHTS",2004,2750,2750,"Candidate"
"261","CMTE FOR FAIRNESS & INDIVIDUAL RIGHTS",2002,1000,0,"Party Committee"
"262","CMTE FOR FAIRNESS & INDIVIDUAL RIGHTS",2002,1000,1000,"Candidate"
"263","COALITION FOR ADOPTION RIGHTS EQUALITY",2004,3000,0,"Party Committee"
"264","COALITION FOR ADOPTION RIGHTS EQUALITY",2004,3000,3000,"Candidate"
"265","COLORADO GAY & LESBIAN ASSOCIATION",2006,500,0,"Party Committee"
"266","COLORADO GAY & LESBIAN ASSOCIATION",2006,500,500,"Candidate"
"267","COLORADO STONEWALL DEMOCRATS",2006,1000,0,"Party Committee"
"268","COLORADO STONEWALL DEMOCRATS",2006,1000,1000,"Candidate"
"269","COMM FOR FAIRNESS & INDIVIDUAL RIGHTS",1996,700,0,"Party Committee"
"270","COMM FOR FAIRNESS & INDIVIDUAL RIGHTS",1996,700,700,"Candidate"
"271","COMM FOR FAIRNESS & INDIVIDUAL RIGHTS",1994,500,0,"Party Committee"
"272","COMM FOR FAIRNESS & INDIVIDUAL RIGHTS",1994,500,500,"Candidate"
"273","COMMONWEALTH COALITION",2006,132171.44,0,"Party Committee"
"274","COMMONWEALTH COALITION",2006,132171.44,132171.44,"Candidate"
"275","CSRA RAINBOW ALLIANCE",2006,302,0,"Party Committee"
"276","CSRA RAINBOW ALLIANCE",2006,302,302,"Candidate"
"277","DE RIGHT TO MARRY PAC",2012,900,0,"Party Committee"
"278","DE RIGHT TO MARRY PAC",2012,900,900,"Candidate"
"279","DELAWARE LIBERTY FUND",2012,1200,0,"Party Committee"
"280","DELAWARE LIBERTY FUND",2012,1200,1200,"Candidate"
"281","DELAWARE LIBERTY FUND",2010,2100,0,"Party Committee"
"282","DELAWARE LIBERTY FUND",2010,2100,2100,"Candidate"
"283","DELAWARE LIBERTY FUND",2008,2550,0,"Party Committee"
"284","DELAWARE LIBERTY FUND",2008,2550,2550,"Candidate"
"285","DELAWARE LIBERTY FUND",2006,1950,0,"Party Committee"
"286","DELAWARE LIBERTY FUND",2006,1950,1950,"Candidate"
"287","DELAWARE LIBERTY FUND",2004,7650,0,"Party Committee"
"288","DELAWARE LIBERTY FUND",2004,7650,7650,"Candidate"
"289","DELAWARE LIBERTY FUND",2002,6650,0,"Party Committee"
"290","DELAWARE LIBERTY FUND",2002,6650,6650,"Candidate"
"291","DELAWARE LIBERTY FUND",2000,4600,0,"Party Committee"
"292","DELAWARE LIBERTY FUND",2000,4600,4600,"Candidate"
"293","DELAWARE LIBERTY FUNDS",2006,100,0,"Party Committee"
"294","DELAWARE LIBERTY FUNDS",2006,100,100,"Candidate"
"295","DELAWARE LIBERTY FUNDS",2004,400,0,"Party Committee"
"296","DELAWARE LIBERTY FUNDS",2004,400,400,"Candidate"
"297","DELAWARE RIGHT TO MARRY PAC",2012,900,0,"Party Committee"
"298","DELAWARE RIGHT TO MARRY PAC",2012,900,900,"Candidate"
"299","DELAWARE STONEWALL DEMOCRATS",2018,11450,0,"Party Committee"
"300","DELAWARE STONEWALL DEMOCRATS",2018,11450,11450,"Candidate"
"301","DELAWARE STONEWALL DEMOCRATS",2017,600,0,"Party Committee"
"302","DELAWARE STONEWALL DEMOCRATS",2017,600,600,"Candidate"
"303","DELAWARE STONEWALL DEMOCRATS",2016,6600,0,"Party Committee"
"304","DELAWARE STONEWALL DEMOCRATS",2016,6600,6600,"Candidate"
"305","DELAWARE STONEWALL DEMOCRATS",2014,10950,0,"Party Committee"
"306","DELAWARE STONEWALL DEMOCRATS",2014,10950,10950,"Candidate"
