"","Interest.Group","Year","total_contributions","amount_contributed","recipient"
"742","GATEWAY STONEWALL DEMOCRATS",2006,200,200,"Candidate"
"743","GAY & LESBIAN ADVOCATES & DEFENDERS",2012,289812.84,0,"Party Committee"
"744","GAY & LESBIAN ADVOCATES & DEFENDERS",2012,289812.84,289812.84,"Candidate"
"745","GAY & LESBIAN ADVOCATES & DEFENDERS",2009,114258,0,"Party Committee"
"746","GAY & LESBIAN ADVOCATES & DEFENDERS",2009,114258,114258,"Candidate"
"747","GAY & LESBIAN ALLIANCE AGAINST DEFAMATION",2009,15292.15,0,"Party Committee"
"748","GAY & LESBIAN ALLIANCE AGAINST DEFAMATION",2009,15292.15,15292.15,"Candidate"
"749","GAY & LESBIAN ALLIANCE AGAINST DEFAMATION",2008,197081.26,0,"Party Committee"
"750","GAY & LESBIAN ALLIANCE AGAINST DEFAMATION",2008,197081.26,197081.26,"Candidate"
"751","GAY & LESBIAN COMMUNITY SERVICES CENTER OF ORANGE COUNTY",2008,1548,0,"Party Committee"
"752","GAY & LESBIAN COMMUNITY SERVICES CENTER OF ORANGE COUNTY",2008,1548,1548,"Candidate"
"753","GAY & LESBIAN DEMOCRATS OF SUFFOLK COUNTY",2008,725,0,"Party Committee"
"754","GAY & LESBIAN DEMOCRATS OF SUFFOLK COUNTY",2008,725,725,"Candidate"
"755","GAY & LESBIAN DEMOCRATS OF SUFFOLK COUNTY",2006,750,0,"Party Committee"
"756","GAY & LESBIAN DEMOCRATS OF SUFFOLK COUNTY",2006,750,750,"Candidate"
"757","GAY & LESBIAN DEMOCRATS PAC",2000,250,0,"Party Committee"
"758","GAY & LESBIAN DEMOCRATS PAC",2000,250,250,"Candidate"
"759","GAY & LESBIAN INDEPENDENT DEMOCRATS",2012,250,0,"Party Committee"
"760","GAY & LESBIAN INDEPENDENT DEMOCRATS",2012,250,250,"Candidate"
"761","GAY & LESBIAN INDEPENDENT DEMOCRATS",2008,250,0,"Party Committee"
"762","GAY & LESBIAN INDEPENDENT DEMOCRATS",2008,250,250,"Candidate"
"763","GAY & LESBIAN INDEPENDENT DEMOCRATS",2006,500,0,"Party Committee"
"764","GAY & LESBIAN INDEPENDENT DEMOCRATS",2006,500,500,"Candidate"
"765","GAY & LESBIAN INDEPENDENT DEMOCRATS",2004,1250,0,"Party Committee"
"766","GAY & LESBIAN INDEPENDENT DEMOCRATS",2004,1250,1250,"Candidate"
"767","GAY & LESBIAN INDEPENDENT DEMOCRATS",2002,1500,0,"Party Committee"
"768","GAY & LESBIAN INDEPENDENT DEMOCRATS",2002,1500,1500,"Candidate"
"769","GAY & LESBIAN INDEPENDENT DEMOCRATS / GLID",2006,350,0,"Party Committee"
"770","GAY & LESBIAN INDEPENDENT DEMOCRATS / GLID",2006,350,350,"Candidate"
"771","GAY & LESBIAN INDEPENDENT DEMOCRATS / GLID",2004,850,0,"Party Committee"
"772","GAY & LESBIAN INDEPENDENT DEMOCRATS / GLID",2004,850,850,"Candidate"
"773","GAY & LESBIAN INDEPENDENT DEMOCRATS/GLID",2002,250,0,"Party Committee"
"774","GAY & LESBIAN INDEPENDENT DEMOCRATS/GLID",2002,250,250,"Candidate"
"775","GAY & LESBIAN LABOR ACTIVIST PAC",2008,225,0,"Party Committee"
"776","GAY & LESBIAN LABOR ACTIVIST PAC",2008,225,225,"Candidate"
"777","GAY & LESBIAN LABOR ACTIVIST PAC",2006,50,0,"Party Committee"
"778","GAY & LESBIAN LABOR ACTIVIST PAC",2006,50,50,"Candidate"
"779","GAY & LESBIAN POLITICAL ACTION & SUPPORT GROUP/GAYPASG",2007,500,0,"Party Committee"
"780","GAY & LESBIAN POLITICAL ACTION & SUPPORT GROUP/GAYPASG",2007,500,500,"Candidate"
"781","GAY & LESBIAN RESOURCE CENTER IOWA",2002,50000,50000,"Party Committee"
"782","GAY & LESBIAN RESOURCE CENTER IOWA",2002,50000,0,"Candidate"
"783","GAY & LESBIAN UTAH DEMOCRATS",1990,100,0,"Party Committee"
"784","GAY & LESBIAN UTAH DEMOCRATS",1990,100,100,"Candidate"
"785","GAY & LESBIAN VICTORY FUND",2019,2500,0,"Party Committee"
"786","GAY & LESBIAN VICTORY FUND",2019,2500,2500,"Candidate"
"787","GAY & LESBIAN VICTORY FUND",2018,414566.56,0,"Party Committee"
"788","GAY & LESBIAN VICTORY FUND",2018,414566.56,414566.56,"Candidate"
"789","GAY & LESBIAN VICTORY FUND",2017,5175,0,"Party Committee"
"790","GAY & LESBIAN VICTORY FUND",2017,5175,5175,"Candidate"
"791","GAY & LESBIAN VICTORY FUND",2016,44200,0,"Party Committee"
"792","GAY & LESBIAN VICTORY FUND",2016,44200,44200,"Candidate"
"793","GAY & LESBIAN VICTORY FUND",2015,8420,0,"Party Committee"
"794","GAY & LESBIAN VICTORY FUND",2015,8420,8420,"Candidate"
"795","GAY & LESBIAN VICTORY FUND",2014,95407.69,15500,"Party Committee"
"796","GAY & LESBIAN VICTORY FUND",2014,95407.69,79907.69,"Candidate"
"797","GAY & LESBIAN VICTORY FUND",2013,52925,0,"Party Committee"
"798","GAY & LESBIAN VICTORY FUND",2013,52925,52925,"Candidate"
"799","GAY & LESBIAN VICTORY FUND",2012,706158,0,"Party Committee"
"800","GAY & LESBIAN VICTORY FUND",2012,706158,706158,"Candidate"
"801","GAY & LESBIAN VICTORY FUND",2011,61850,0,"Party Committee"
"802","GAY & LESBIAN VICTORY FUND",2011,61850,61850,"Candidate"
"803","GAY & LESBIAN VICTORY FUND",2010,160407.34,0,"Party Committee"
"804","GAY & LESBIAN VICTORY FUND",2010,160407.34,160407.34,"Candidate"
"805","GAY & LESBIAN VICTORY FUND",2009,500,500,"Party Committee"
"806","GAY & LESBIAN VICTORY FUND",2009,500,0,"Candidate"
"807","GAY & LESBIAN VICTORY FUND",2008,154306.51,0,"Party Committee"
"808","GAY & LESBIAN VICTORY FUND",2008,154306.51,154306.51,"Candidate"
"809","GAY & LESBIAN VICTORY FUND",2007,1000,0,"Party Committee"
"810","GAY & LESBIAN VICTORY FUND",2007,1000,1000,"Candidate"
"811","GAY & LESBIAN VICTORY FUND",2006,106267.39,0,"Party Committee"
"812","GAY & LESBIAN VICTORY FUND",2006,106267.39,106267.39,"Candidate"
"813","GAY & LESBIAN VICTORY FUND",2005,125,0,"Party Committee"
"814","GAY & LESBIAN VICTORY FUND",2005,125,125,"Candidate"
"815","GAY & LESBIAN VICTORY FUND",2004,70049.3,36000,"Party Committee"
"816","GAY & LESBIAN VICTORY FUND",2004,70049.3,34049.3,"Candidate"
"817","GAY & LESBIAN VICTORY FUND",2003,1735,0,"Party Committee"
"818","GAY & LESBIAN VICTORY FUND",2003,1735,1735,"Candidate"
"819","GAY & LESBIAN VICTORY FUND",2002,25881,0,"Party Committee"
"820","GAY & LESBIAN VICTORY FUND",2002,25881,25881,"Candidate"
"821","GAY & LESBIAN VICTORY FUND",2000,22671.49,0,"Party Committee"
"822","GAY & LESBIAN VICTORY FUND",2000,22671.49,22671.49,"Candidate"
"823","GAY & LESBIAN VICTORY FUND",1998,17810.35,0,"Party Committee"
"824","GAY & LESBIAN VICTORY FUND",1998,17810.35,17810.35,"Candidate"
"825","GAY & LESBIAN VICTORY FUND",1996,2089.84,0,"Party Committee"
"826","GAY & LESBIAN VICTORY FUND",1996,2089.84,2089.84,"Candidate"
"827","GAY & LESBIAN VOTERS PAC",2002,200,0,"Party Committee"
"828","GAY & LESBIAN VOTERS PAC",2002,200,200,"Candidate"
"829","GAY & LESBIAN VOTERS PAC",2000,1550,0,"Party Committee"
"830","GAY & LESBIAN VOTERS PAC",2000,1550,1550,"Candidate"
"831","GAY LESBIAN & BISEXUAL COMMUNITY",2000,561,561,"Party Committee"
"832","GAY LESBIAN & BISEXUAL COMMUNITY",2000,561,0,"Candidate"
"833","GAY LESBIAN BISEXUAL & TRANSGENDER DEMOCRATS & ALLIES OF JEFFERSON COUNTY GLBT",2014,4650,0,"Party Committee"
"834","GAY LESBIAN BISEXUAL & TRANSGENDER DEMOCRATS & ALLIES OF JEFFERSON COUNTY GLBT",2014,4650,4650,"Candidate"
"835","GAY LESBIAN BISEXUAL & TRANSGENDER DEMOCRATS & ALLIES OF JEFFERSON COUNTY GLBT",2012,4750,500,"Party Committee"
"836","GAY LESBIAN BISEXUAL & TRANSGENDER DEMOCRATS & ALLIES OF JEFFERSON COUNTY GLBT",2012,4750,4250,"Candidate"
"837","GAY LESBIAN BISEXUAL & TRANSGENDER DEMOCRATS & ALLIES OF JEFFERSON COUNTY GLBT",2010,4500,0,"Party Committee"
"838","GAY LESBIAN BISEXUAL & TRANSGENDER DEMOCRATS & ALLIES OF JEFFERSON COUNTY GLBT",2010,4500,4500,"Candidate"
"839","GAY OREGON LESBIAN DOLLARS PAC",2000,1500,0,"Party Committee"
"840","GAY OREGON LESBIAN DOLLARS PAC",2000,1500,1500,"Candidate"
"841","GAY PASG PAC",2005,500,0,"Party Committee"
"842","GAY PASG PAC",2005,500,500,"Candidate"
"843","GAY PASG PAC",2003,1000,0,"Party Committee"
"844","GAY PASG PAC",2003,1000,1000,"Candidate"
"845","GAY STRAIGHT ALLIANCE",2006,100,0,"Party Committee"
"846","GAY STRAIGHT ALLIANCE",2006,100,100,"Candidate"
"847","GAY STRAIGHT STUDENT ALLIANCE",2006,20,0,"Party Committee"
"848","GAY STRAIGHT STUDENT ALLIANCE",2006,20,20,"Candidate"
"849","GAY/LESBIAN NETWORK OF WESTERN MICHIGAN",2004,100,0,"Party Committee"
"850","GAY/LESBIAN NETWORK OF WESTERN MICHIGAN",2004,100,100,"Candidate"
"851","GAYPASG PAC",2007,5450,1250,"Party Committee"
"852","GAYPASG PAC",2007,5450,4200,"Candidate"
"853","GAYPASG PAC",2006,450,450,"Party Committee"
"854","GAYPASG PAC",2006,450,0,"Candidate"
"855","GAYPASG PAC",2005,2150,950,"Party Committee"
"856","GAYPASG PAC",2005,2150,1200,"Candidate"
"857","GAYPASG PAC",2004,1500,1500,"Party Committee"
"858","GAYPASG PAC",2004,1500,0,"Candidate"
"859","GAYPASG PAC",2003,2676.04,450,"Party Committee"
"860","GAYPASG PAC",2003,2676.04,2226.04,"Candidate"
"861","GAYPASG PAC",2002,450,450,"Party Committee"
"862","GAYPASG PAC",2002,450,0,"Candidate"
"863","GAYPASG PAC",2001,1800,0,"Party Committee"
"864","GAYPASG PAC",2001,1800,1800,"Candidate"
"865","GAYS & LESBIANS ORGANIZED FOR BETTERMENT & EQUALITY",2008,6100,0,"Party Committee"
"866","GAYS & LESBIANS ORGANIZED FOR BETTERMENT & EQUALITY",2008,6100,6100,"Candidate"
"867","GAYS & LESBIANS ORGANIZED FOR BETTERMENT & EQUALITY (GLOBE) OF SOUTHERN ALAMEDA COUNTY",2008,5000,0,"Party Committee"
"868","GAYS & LESBIANS ORGANIZED FOR BETTERMENT & EQUALITY (GLOBE) OF SOUTHERN ALAMEDA COUNTY",2008,5000,5000,"Candidate"
"869","GAYS & LESBIANS ORGANIZED FOR BETTERMENT & EQUALITY / GLOBE",2014,3000,0,"Party Committee"
"870","GAYS & LESBIANS ORGANIZED FOR BETTERMENT & EQUALITY / GLOBE",2014,3000,3000,"Candidate"
"871","GAYS & LESBIANS ORGANIZED FOR BETTERMENT & EQUALITY / GLOBE",2012,450,0,"Party Committee"
"872","GAYS & LESBIANS ORGANIZED FOR BETTERMENT & EQUALITY / GLOBE",2012,450,450,"Candidate"
"873","GENERAL TREASURY TRANSFER",2009,693862.5,0,"Party Committee"
"874","GENERAL TREASURY TRANSFER",2009,693862.5,693862.5,"Candidate"
"875","GENERAL TREASURY TRANSFER",2008,67181.76,0,"Party Committee"
"876","GENERAL TREASURY TRANSFER",2008,67181.76,67181.76,"Candidate"
"877","GEORGIA LOG CABIN REPUBLICANS",2001,150,0,"Party Committee"
"878","GEORGIA LOG CABIN REPUBLICANS",2001,150,150,"Candidate"
"879","GEORGIA LOG CABIN REPUBLICANS",2000,150,0,"Party Committee"
"880","GEORGIA LOG CABIN REPUBLICANS",2000,150,150,"Candidate"
"881","GEORGIA STONEWALL DEMOCRATS",2000,2000,2000,"Party Committee"
"882","GEORGIA STONEWALL DEMOCRATS",2000,2000,0,"Candidate"
"883","GILL ACTION FUND",2016,9600,0,"Party Committee"
"884","GILL ACTION FUND",2016,9600,9600,"Candidate"
"885","GILL ACTION FUND",2014,7724.48,0,"Party Committee"
"886","GILL ACTION FUND",2014,7724.48,7724.48,"Candidate"
"887","GILL ACTION FUND",2013,5000,5000,"Party Committee"
"888","GILL ACTION FUND",2013,5000,0,"Candidate"
"889","GILL ACTION FUND",2012,319000,0,"Party Committee"
"890","GILL ACTION FUND",2012,319000,319000,"Candidate"
"891","GILL ACTION FUND",2010,405500,0,"Party Committee"
"892","GILL ACTION FUND",2010,405500,405500,"Candidate"
"893","GILL ACTION FUND",2009,277000,2000,"Party Committee"
"894","GILL ACTION FUND",2009,277000,275000,"Candidate"
"895","GILL ACTION FUND",2008,399005.1,10005.1,"Party Committee"
"896","GILL ACTION FUND",2008,399005.1,389000,"Candidate"
"897","GILL ACTION FUND",2007,40000,40000,"Party Committee"
"898","GILL ACTION FUND",2007,40000,0,"Candidate"
"899","GILL ACTION FUND",2006,3806884.45,0,"Party Committee"
"900","GILL ACTION FUND",2006,3806884.45,3806884.45,"Candidate"
"901","GLBT DEMOCRATS & ALLIES OF JEFFERSON COUNTY",2010,300,0,"Party Committee"
"902","GLBT DEMOCRATS & ALLIES OF JEFFERSON COUNTY",2010,300,300,"Candidate"
"903","GLBT DEMOCRATS & ALLIES OF JEFFERSON COUNTY",2008,4000,0,"Party Committee"
"904","GLBT DEMOCRATS & ALLIES OF JEFFERSON COUNTY",2008,4000,4000,"Candidate"
"905","GLBT DEMOCRATS & ALLIES OF JEFFERSON COUNTY",2006,6350,0,"Party Committee"
"906","GLBT DEMOCRATS & ALLIES OF JEFFERSON COUNTY",2006,6350,6350,"Candidate"
"907","GLBT DEMOCRATS & ALLIES OF JEFFERSON COUNTY",2004,800,0,"Party Committee"
"908","GLBT DEMOCRATS & ALLIES OF JEFFERSON COUNTY",2004,800,800,"Candidate"
"909","GLBT DEMOCRATS & ALLIES OF JEFFERSON COUNTY",2002,250,0,"Party Committee"
"910","GLBT DEMOCRATS & ALLIES OF JEFFERSON COUNTY",2002,250,250,"Candidate"
"911","GLBT FRIENDS OF GOOD GOVERNMENT",2008,6250,0,"Party Committee"
"912","GLBT FRIENDS OF GOOD GOVERNMENT",2008,6250,6250,"Candidate"
"913","GLBTQ LEGAL ADVOCATES & DEFENDERS INC",2018,65000,0,"Party Committee"
"914","GLBTQ LEGAL ADVOCATES & DEFENDERS INC",2018,65000,65000,"Candidate"
"915","GLC FOR FAIRNESS",2006,4605,0,"Party Committee"
"916","GLC FOR FAIRNESS",2006,4605,4605,"Candidate"
"917","GLID",2008,100,0,"Party Committee"
"918","GLID",2008,100,100,"Candidate"
"919","GLID",2006,250,0,"Party Committee"
"920","GLID",2006,250,250,"Candidate"
"921","GLID",2004,400,0,"Party Committee"
"922","GLID",2004,400,400,"Candidate"
"923","GLID",2002,2250,1000,"Party Committee"
"924","GLID",2002,2250,1250,"Candidate"
"925","GLID",2000,400,0,"Party Committee"
"926","GLID",2000,400,400,"Candidate"
"927","GLID A K A G & L INDEPENDENT DEMOCRATS",2002,550,300,"Party Committee"
"928","GLID A K A G & L INDEPENDENT DEMOCRATS",2002,550,250,"Candidate"
"929","GLID A K A G & L INDEPENDENT DEMOCRATS",2000,150,0,"Party Committee"
"930","GLID A K A G & L INDEPENDENT DEMOCRATS",2000,150,150,"Candidate"
"931","GLUE PAC",1996,100,0,"Party Committee"
"932","GLUE PAC",1996,100,100,"Candidate"
"933","GREATER BOSTON PFLAG",2018,45000,0,"Party Committee"
"934","GREATER BOSTON PFLAG",2018,45000,45000,"Candidate"
"935","HANDS OFF WA",1998,1110,0,"Party Committee"
"936","HANDS OFF WA",1998,1110,1110,"Candidate"
"937","HARVEY MILK LGBT DEMOCRATIC CLUB",2014,6388.63,0,"Party Committee"
"938","HARVEY MILK LGBT DEMOCRATIC CLUB",2014,6388.63,6388.63,"Candidate"
"939","HARVEY MILK LGBT DEMOCRATIC CLUB",2012,420.1,0,"Party Committee"
"940","HARVEY MILK LGBT DEMOCRATIC CLUB",2012,420.1,420.1,"Candidate"
"941","HARVEY MILK LGBT DEMOCRATIC CLUB",2011,600,0,"Party Committee"
"942","HARVEY MILK LGBT DEMOCRATIC CLUB",2011,600,600,"Candidate"
"943","HARVEY MILK LGBT DEMOCRATIC CLUB",2008,2000,0,"Party Committee"
"944","HARVEY MILK LGBT DEMOCRATIC CLUB",2008,2000,2000,"Candidate"
"945","HARVEY MUGGEY LESBIAN/GAY DEMOCRATS",2003,50,50,"Party Committee"
"946","HARVEY MUGGEY LESBIAN/GAY DEMOCRATS",2003,50,0,"Candidate"
"947","HARVEY MUGGY LESBIAN/GAY DEMOCRATS",2002,200,200,"Party Committee"
"948","HARVEY MUGGY LESBIAN/GAY DEMOCRATS",2002,200,0,"Candidate"
"949","HARVEY MUGGY LESBIAN/GAY DEMOCRATS",2001,100,100,"Party Committee"
"950","HARVEY MUGGY LESBIAN/GAY DEMOCRATS",2001,100,0,"Candidate"
"951","HARVEY MUGGY LESBIAN/GAY DEMOCRATS",2000,200,200,"Party Committee"
"952","HARVEY MUGGY LESBIAN/GAY DEMOCRATS",2000,200,0,"Candidate"
"953","HORIZONS FOUNDATION",2018,5000,0,"Party Committee"
"954","HORIZONS FOUNDATION",2018,5000,5000,"Candidate"
"955","HORIZONS FOUNDATION",2008,1e+05,0,"Party Committee"
"956","HORIZONS FOUNDATION",2008,1e+05,1e+05,"Candidate"
"957","HORIZONS FOUNDATION",2006,5000,0,"Party Committee"
"958","HORIZONS FOUNDATION",2006,5000,5000,"Candidate"
"959","HORIZONS FOUNDATION",2004,10000,0,"Party Committee"
"960","HORIZONS FOUNDATION",2004,10000,10000,"Candidate"
"961","HOUR OF POWER",2010,400,0,"Party Committee"
"962","HOUR OF POWER",2010,400,400,"Candidate"
"963","HOUSTON EQUAL RIGHTS ALLIANCE / HERA",2005,4157,0,"Party Committee"
"964","HOUSTON EQUAL RIGHTS ALLIANCE / HERA",2005,4157,4157,"Candidate"
"965","HOUSTON LESBIAN PRESS",2000,35,0,"Party Committee"
"966","HOUSTON LESBIAN PRESS",2000,35,35,"Candidate"
"967","HUDSON BAPTIST CHURCH",2005,100,0,"Party Committee"
"968","HUDSON BAPTIST CHURCH",2005,100,100,"Candidate"
"969","HUMAN RIGHTS CAMPAIGN",2020,13000,0,"Party Committee"
"970","HUMAN RIGHTS CAMPAIGN",2020,13000,13000,"Candidate"
"971","HUMAN RIGHTS CAMPAIGN",2019,127655.18,35750,"Party Committee"
"972","HUMAN RIGHTS CAMPAIGN",2019,127655.18,91905.18,"Candidate"
"973","HUMAN RIGHTS CAMPAIGN",2018,1305683.59,128207.23,"Party Committee"
"974","HUMAN RIGHTS CAMPAIGN",2018,1305683.59,1177476.36,"Candidate"
"975","HUMAN RIGHTS CAMPAIGN",2017,177716.07,62514.42,"Party Committee"
"976","HUMAN RIGHTS CAMPAIGN",2017,177716.07,115201.65,"Candidate"
"977","HUMAN RIGHTS CAMPAIGN",2016,1029000.39,63826.47,"Party Committee"
"978","HUMAN RIGHTS CAMPAIGN",2016,1029000.39,965173.92,"Candidate"
"979","HUMAN RIGHTS CAMPAIGN",2015,95499.45,53734.21,"Party Committee"
"980","HUMAN RIGHTS CAMPAIGN",2015,95499.45,41765.24,"Candidate"
"981","HUMAN RIGHTS CAMPAIGN",2014,1022273.12,69955.36,"Party Committee"
"982","HUMAN RIGHTS CAMPAIGN",2014,1022273.12,952317.76,"Candidate"
"983","HUMAN RIGHTS CAMPAIGN",2013,109212.12,76765.44,"Party Committee"
"984","HUMAN RIGHTS CAMPAIGN",2013,109212.12,32446.68,"Candidate"
"985","HUMAN RIGHTS CAMPAIGN",2012,6692525.21,93625.97,"Party Committee"
"986","HUMAN RIGHTS CAMPAIGN",2012,6692525.21,6598899.24,"Candidate"
"987","HUMAN RIGHTS CAMPAIGN",2011,153225,35000,"Party Committee"
"988","HUMAN RIGHTS CAMPAIGN",2011,153225,118225,"Candidate"
"989","HUMAN RIGHTS CAMPAIGN",2010,1018061.46,105240.5,"Party Committee"
"990","HUMAN RIGHTS CAMPAIGN",2010,1018061.46,912820.96,"Candidate"
"991","HUMAN RIGHTS CAMPAIGN",2009,589449.15,31000,"Party Committee"
"992","HUMAN RIGHTS CAMPAIGN",2009,589449.15,558449.15,"Candidate"
"993","HUMAN RIGHTS CAMPAIGN",2008,4709936.06,162597.88,"Party Committee"
"994","HUMAN RIGHTS CAMPAIGN",2008,4709936.06,4547338.18,"Candidate"
"995","HUMAN RIGHTS CAMPAIGN",2007,57532.76,5000,"Party Committee"
"996","HUMAN RIGHTS CAMPAIGN",2007,57532.76,52532.76,"Candidate"
"997","HUMAN RIGHTS CAMPAIGN",2006,440410.33,41934.92,"Party Committee"
"998","HUMAN RIGHTS CAMPAIGN",2006,440410.33,398475.41,"Candidate"
"999","HUMAN RIGHTS CAMPAIGN",2005,196842.88,300,"Party Committee"
"1000","HUMAN RIGHTS CAMPAIGN",2005,196842.88,196542.88,"Candidate"
"1001","HUMAN RIGHTS CAMPAIGN",2004,1117654.27,25000,"Party Committee"
"1002","HUMAN RIGHTS CAMPAIGN",2004,1117654.27,1092654.27,"Candidate"
"1003","HUMAN RIGHTS CAMPAIGN",2002,18623.5,12121.5,"Party Committee"
"1004","HUMAN RIGHTS CAMPAIGN",2002,18623.5,6502,"Candidate"
"1005","HUMAN RIGHTS CAMPAIGN",2001,4000,4000,"Party Committee"
"1006","HUMAN RIGHTS CAMPAIGN",2001,4000,0,"Candidate"
"1007","HUMAN RIGHTS CAMPAIGN",2000,1000,1000,"Party Committee"
"1008","HUMAN RIGHTS CAMPAIGN",2000,1000,0,"Candidate"
"1009","HUMAN RIGHTS CAMPAIGN",1999,5000,5000,"Party Committee"
"1010","HUMAN RIGHTS CAMPAIGN",1999,5000,0,"Candidate"
"1011","HUMAN RIGHTS CAMPAIGN",1994,100,0,"Party Committee"
"1012","HUMAN RIGHTS CAMPAIGN",1994,100,100,"Candidate"
"1013","HUMAN RIGHTS CAMPAIGN DALLAS/FORT WORTH",2005,1000,0,"Party Committee"
"1014","HUMAN RIGHTS CAMPAIGN DALLAS/FORT WORTH",2005,1000,1000,"Candidate"
"1015","HUMAN RIGHTS CAMPAIGN OHIO FAMILIES PAC",2008,1242.08,0,"Party Committee"
"1016","HUMAN RIGHTS CAMPAIGN OHIO FAMILIES PAC",2008,1242.08,1242.08,"Candidate"
"1017","HUMAN RIGHTS LEAGUE",2010,1750,0,"Party Committee"
"1018","HUMAN RIGHTS LEAGUE",2010,1750,1750,"Candidate"
"1019","HUMAN RIGHTS LEAGUE",2009,6000,6000,"Party Committee"
"1020","HUMAN RIGHTS LEAGUE",2009,6000,0,"Candidate"
"1021","HUMAN RIGHTS LEAGUE",2006,8246.35,0,"Party Committee"
"1022","HUMAN RIGHTS LEAGUE",2006,8246.35,8246.35,"Candidate"
"1023","HUMAN RIGHTS LEAGUE",2005,1000,0,"Party Committee"
"1024","HUMAN RIGHTS LEAGUE",2005,1000,1000,"Candidate"
"1025","ILLINOIS FAIRNESS FUND",2014,2540.88,0,"Party Committee"
"1026","ILLINOIS FAIRNESS FUND",2014,2540.88,2540.88,"Candidate"
"1027","ILLINOIS FAIRNESS FUND",2010,87653.53,25000,"Party Committee"
"1028","ILLINOIS FAIRNESS FUND",2010,87653.53,62653.53,"Candidate"
"1029","INDIANA STONEWALL DEMOCRAT",2004,500,0,"Party Committee"
"1030","INDIANA STONEWALL DEMOCRAT",2004,500,500,"Candidate"
"1031","INDIANA STONEWALL DEMOCRATS",2018,2750,500,"Party Committee"
"1032","INDIANA STONEWALL DEMOCRATS",2018,2750,2250,"Candidate"
"1033","INDIANA STONEWALL DEMOCRATS",2017,250,250,"Party Committee"
"1034","INDIANA STONEWALL DEMOCRATS",2017,250,0,"Candidate"
"1035","INDIANA STONEWALL DEMOCRATS",2012,2250,250,"Party Committee"
"1036","INDIANA STONEWALL DEMOCRATS",2012,2250,2000,"Candidate"
"1037","INDIANA STONEWALL DEMOCRATS",2011,875,875,"Party Committee"
"1038","INDIANA STONEWALL DEMOCRATS",2011,875,0,"Candidate"
"1039","INDIANA STONEWALL DEMOCRATS",2010,14550,1250,"Party Committee"
"1040","INDIANA STONEWALL DEMOCRATS",2010,14550,13300,"Candidate"
"1041","INDIANA STONEWALL DEMOCRATS",2008,1500,0,"Party Committee"
"1042","INDIANA STONEWALL DEMOCRATS",2008,1500,1500,"Candidate"
"1043","INDIANA STONEWALL DEMOCRATS",2006,500,0,"Party Committee"
"1044","INDIANA STONEWALL DEMOCRATS",2006,500,500,"Candidate"
"1045","INDIANA STONEWALL DEMOCRATS",2005,750,750,"Party Committee"
"1046","INDIANA STONEWALL DEMOCRATS",2005,750,0,"Candidate"
"1047","INDIANA STONEWALL DEMOCRATS",2004,38350,600,"Party Committee"
"1048","INDIANA STONEWALL DEMOCRATS",2004,38350,37750,"Candidate"
"1049","INDIANA STONEWALL DEMOCRATS",2003,750,750,"Party Committee"
"1050","INDIANA STONEWALL DEMOCRATS",2003,750,0,"Candidate"
"1051","INDIANA STONEWALL DEMOCRATS",2002,1525,525,"Party Committee"
"1052","INDIANA STONEWALL DEMOCRATS",2002,1525,1000,"Candidate"
"1053","INDIANA STONEWELL DEMOCRATS",2004,1000,0,"Party Committee"
"1054","INDIANA STONEWELL DEMOCRATS",2004,1000,1000,"Candidate"
"1055","INLAND EMPIRE LESBIAN & GAY DEMOCRATIC CLUB",2000,1350,0,"Party Committee"
"1056","INLAND EMPIRE LESBIAN & GAY DEMOCRATIC CLUB",2000,1350,1350,"Candidate"
"1057","JEFFCOUNTY DEMOCRATS GLBT CAUCUS",2008,400,0,"Party Committee"
"1058","JEFFCOUNTY DEMOCRATS GLBT CAUCUS",2008,400,400,"Candidate"
"1059","JLS OPERATIONS",2011,500,0,"Party Committee"
"1060","JLS OPERATIONS",2011,500,500,"Candidate"
"1061","JLS OPERATIONS",2010,44000,25000,"Party Committee"
"1062","JLS OPERATIONS",2010,44000,19000,"Candidate"
"1063","JOHNSON FAMILY FOUNDATION",2009,15000,0,"Party Committee"
"1064","JOHNSON FAMILY FOUNDATION",2009,15000,15000,"Candidate"
"1065","JUNCTION CITY TEDDY BEARS/JCTB",2005,100,0,"Party Committee"
"1066","JUNCTION CITY TEDDY BEARS/JCTB",2005,100,100,"Candidate"
"1067","KANAWHA STONEWALL DEMOCRATS",2008,650,650,"Party Committee"
"1068","KANAWHA STONEWALL DEMOCRATS",2008,650,0,"Candidate"
"1069","KANSANS FOR FAIRNESS",2005,500,0,"Party Committee"
"1070","KANSANS FOR FAIRNESS",2005,500,500,"Candidate"
"1071","KANSAS CITY PRIDE DEMOCRATIC CLUB",2014,250,0,"Party Committee"
"1072","KANSAS CITY PRIDE DEMOCRATIC CLUB",2014,250,250,"Candidate"
"1073","KANSAS CITY PRIDE DEMOCRATIC CLUB",2008,325,0,"Party Committee"
"1074","KANSAS CITY PRIDE DEMOCRATIC CLUB",2008,325,325,"Candidate"
"1075","KANSAS DEMOCRATIC CAUCUS LGBT",2016,500,0,"Party Committee"
"1076","KANSAS DEMOCRATIC CAUCUS LGBT",2016,500,500,"Candidate"
"1077","KANSAS DEMOCRATIC CAUCUS LGBT",2014,500,0,"Party Committee"
"1078","KANSAS DEMOCRATIC CAUCUS LGBT",2014,500,500,"Candidate"
"1079","KANSAS DEMOCRATIC CAUCUS LGBT",2012,600,0,"Party Committee"
